Customer,ATM ID,Address,City,Site,Start Date Time,Action Code,Status Code,Status Description,Comments,Reference Number,Ticket ID
Oki - BNRMs for SBI           ,L000003622,TEHSIL ROAD AKBARPUR                              ,AKBARPUR            ,ONSITE                        ,28/10/2022 22:08:00,47,330334,Reject Bin Overfill                                                                                 ,"10/29/2022  09:14  SD  Ticket has been Informed  to Branch person 8795833620  for FLM activity
",INFORMED       ,183917281
Oki - BNRMs for SBI           ,L000017625,BALLIA BANK OF ATM 3RD                            ,BALLIA BANK OF ATM 3,ONSITE                        ,23/10/2022 20:43:00,27,331518,SLM- Encryptor Failure                                                                              ,"10/29/2022  00:25  RR  ^to 10/28/2022  16:08  SP  Spare Required # ( EPP )- Escalated to OKI Harpreet Sir confrence done with Mudit Spare will be delivered at tomorrow 10.00am
10/27/2022  15:58  SP  Spare Required # ( EPP)-Call Escalated to OKI Prashant Sir to revised ETA he will get this check and confirm
10/27/2022  13:17  SP  Spare Required # ( EPP)-- Call Escalated to OKI Roshani to revised the ETA as shared ETA not acceptable
10/27/2022  11:27  SP  Spare Required # ( EPP)-- Call Escalated to OKI Sahil to revised the ETA as shared ETA not acceptable
10/27/2022  01:07  RR  ^TO 10/26/2022  17:53  SP  Spare Required # ( EPP)--SPARE PINPAD OKI(HMB920) ARRANGED FROM LUCKNOW FSL AND SITE ETS IS ON 28TH OCT 22 @16.00HRS
10/26/2022  15:41  SP  Spare Required # ( EPP)- Escalated to OKI Helpdesk Faritha ETA is for 28th Oct but will confirm us .
10/26/2022  13:37  SP  Spare Required # ( EPP)- EDD :28 Oct 2022 16:00Hrs
10/26/2022  01:40  RR  ^AS DISCUSSED WITH THE TSS-RAVI HE WILL REQUEST THE SPARE SHORTLY
10/25/2022  21:37  SNP (PORTAL) 25/10/2022 20:03:29 OIPL  L1 - ARJUN JADHAV AS DISCUSSED WITH THE TSS-RAVI HE WILL REQUEST THE SPARE SHORTLY
10/25/2022  13:33  SGP The engineer will attend he site today 25 oct at 16;30HRS.

10/25/2022  11:59  SGP As discussed with oki CE :9506011806 as per him precouupied sbi site on ly will attend till 4 PM same escalated to oki team 
10/25/2022  00:14  RR  ^ to 10/24/2022  16:31  SGP ENGINEER WILL ATTEND THE SITE AS PER BANK SCHEDULE FOR TOMORROW 25-10-22 TILL 10 AM DUE TO BANK CLOSED .
10/24/2022  13:55  SGP As discussed with oki saira email sent for CE ETA for tomorrow morning branch person not available today 
10/24/2022  13:21  SGP Remote suppoer is done with oki CE sheshnath same discussed with oki team for CE ETA email sent 
10/23/2022  20:43  RR  call log for epp issue eng 9506011806 bp 9616246633 # Docket Number : T10232022562323201
",562323201      ,183855133
Oki - BNRMs for SBI           ,L000064622,DEOGHAR                                           ,DEOGHAR             ,ONSITE                        ,24/10/2022 12:23:00,27,331520,SLM- Cash Dispenser                                                                                 ,"10/29/2022  00:25  RR  ^AS DISCUSSED WITH BTS HARI THE ENGINEER WILL ATTEND THE SITE TOMORROW 29TH OCT AT 10:00 HRS.
10/28/2022  13:38  EP  Spare delivered informed to OKI Pooja for CE ETA & mail shared
10/28/2022  12:22  EP  Call escalated to OKI Amit & mail shared
10/28/2022  11:39  EP  Call escalated to Saroj for Spare ETA revised & mail shared
10/28/2022  06:26  RR  ^to 10/27/2022  20:31  SNP Spare will be delivered on 28thoct at 17:00 hrs.
10/27/2022  17:00  EP  Tried calling Sahil but number getting busy & Roshni not responding, mail doccuented to them
10/27/2022  13:45  EP  Escalated by Shrutika to Harpreet to please intervene and help us to revised the ETA as the ETAs are high. Same details shared to harpreet via watsapp as per harpreet he will take with Dashmi and roy to revised the ETA
10/27/2022  13:30  EP  Spare # Bucket required, Patna HUB ETD 27.10.22 & Site ETD 29.10.22
10/27/2022  01:08  RR  ^TO 10/26/2022  15:47  EP  Informed to OKI-RTS Faritha for revised ETA & Informed to OKI Project Amit sir for revised ETA, as per Amit he will check tomorrow for revised ETA
10/26/2022  11:58  EP  Spare # Bucket required, Site ETA - 29 Oct 2022 17:00 Hrs
10/26/2022  01:40  RR  ^ to 10/25/2022  17:55  EP  Send By DHAMMPAL On 25 Oct 2022 17:00:00 ,Delivery Persons Name : NA ,Delivery Persons Contact Number : NA,EDD :29 Oct 2022 17:00:00
10/25/2022  15:40  EP  engineer visited the site in machine found 036A error . bucket adj is getting failed with error code 9754h. as per result information read sc16 to sc21 sensor fail coming. bill press and pool guider position is proper. on post remove/refix bucket pcb connections still same issue. site power conditions proper. required support engineer ajaymahto/tss ahmed 7823942047 
10/25/2022  14:22  EP  STILL CE WORKING AT SITE
10/25/2022  12:08  EP  AS PER ENGINEER AJAY MAHTO (7033000000) HE IS WORKING ON SITE.
10/25/2022  10:55  EP  Engineer BTS - CE AJAY MAHTO check in at site : S5NL000064622
10/25/2022  00:16  RR  ^ TO 10/24/2022  16:05  JAS CE AJAY MAHTO (7033000000) CALL WILL ATTEND BY TOMORROW 25.10.22 12:30HRS, CALL DELAY DUE TO BRANCH CLOSED.
10/24/2022  12:25  JBP Need to clal log for cash acceptor issue CM Rudra sir -9162114246 and remote support taken from eng ajay 7033473247 same confiremd with engineer Ajay  .... Docket Number : T10242022562521368
",562521368      ,183860141
Oki - BNRMs for SBI           ,L000096623,JAMSHEDPUR                                        ,PURBI SINGHBHUM     ,ONSITE                        ,28/10/2022 17:08:00,18,331521,SLM- Zero With Drawl                                                                                ,"10/29/2022  00:25  RR  ^TO 10/28/2022  17:15  EP  PART WILL BE ARRANGED TOMORROW FROM PATNA HUB IN SECOND HALF STOCK TRANSFER DONE
10/28/2022  15:33  EP  Still CE working at stie
10/28/2022  14:15  EP  Got access started working 
10/28/2022  13:46  EP  Waiting for access 
10/28/2022  11:57  ST   As per branch person 9973808082 call been logged for cdf issue same been dsicussed with engineer Tawfiq  ahmad  9150092798--ST     Brief problem Description (Detail Remark along with remote support confirmation) :Done ; Branch Contact :  9973808082     Engineer Contact :   9150092798      Branch Availability :9-6 PM ;Fault in ESQ : CashAcceptorFaults ; Machine Status :Down T10282022563939619
",22563939619    ,183914737
Oki - BNRMs for SBI           ,L000105623,KALIMPONG                                         ,KALIMPONG           ,ONSITE                        ,21/10/2022 12:57:00,6,331516,SLM -Receipt Printer                                                                                ,"10/29/2022  01:26  RR  ^TO 10/29/2022  00:26  RR  ^TO 10/28/2022  15:23  SP  As per TSS Kuntal - ETA-31/10/2022,CE Mritunjoy.
10/28/2022  06:26  RR  ^AS DISUSS WIHT ENGUNEER MRITUNJAY, 7208952115 SAID THAT RMEOT SUPPORT WAS DONE AND WILL ATTAIN THE SITE
10/27/2022  01:08  RR  ^TO 10/26/2022  01:41  RR  &TO 10/25/2022  00:19  RR  ^TO 10/24/2022  01:28  RR  ^ TO 10/23/2022  00:10  RR  ^^ TO 10/22/2022  13:12  MW  TO  10/22/2022  05:54  DR  @ Roll need to be replenish by engineer as per instructed by oki Harpreet sir BP 8001195845
10/21/2022  12:58  SGP Roll need to be replenish by engineer as per instructed by oki Harpreet sir BP  8001195845    T10212022561796206

",replenish      ,183827472
Oki - BNRMs for SBI           ,L000105623,KALIMPONG                                         ,KALIMPONG           ,ONSITE                        ,21/10/2022 16:46:00,18,331521,SLM- Zero With Drawl                                                                                ,"10/29/2022  00:26  RR  ^TO 10/28/2022  13:54  SP  Escalated to OKI Project Pulak Sir will talk with concern to get this site attend ASAP
10/28/2022  06:26  RR  ^AS DISUSS WIHT ENGUNEER MRITUNJAY, 7208952115 SAID THAT RMEOT SUPPORT WAS DONE AND WILL ATTAIN THE SITE
10/27/2022  12:59  SP  Engineer ETA Awaited--Escalated to OKI Project Pulak Sir will talk with concern to arrange closure at earliest
10/27/2022  01:08  RR  ^TO 10/26/2022  01:40  RR  ^TO 10/25/2022  00:19  RR  ^TO 10/24/2022  01:28  RR  ^ TO 10/23/2022  13:39  SP  Email Sent to OKI Team for Engineer ETA .
10/23/2022  00:10  RR  ^ TO 10/22/2022  13:02  MW  TO  10/22/2022  06:03  DR  @ AS DISUSS WIHT ENGUNEER MRITUNJAY, 7208952115 SAID THAT RMEOT SUPPORT WAS DONE AND WILL ATTAIN THE SITE
10/21/2022  16:46  ST  IAs per branch person 8250509698 call been logged for cdf issue cabinet shutter issue SHRI MRITUNJAY, 7208952115 same been discussed with engineer --St   Brief problem Description (Detail Remark along with remote support confirmation) :Done ; Branch Contact : 8250509698      Engineer Contact : 7208952115         Branch Availability :9-6 PM ;Fault in ESQ : NA; Machine Status :Down 
    T10212022561870945",561870945      ,183832538
Oki - BNRMs for SBI           ,L000106623,KALNA                                             ,KALNA               ,ONSITE                        ,28/10/2022 22:07:00,26,331665,Cash Acceptor Faulted Fatal Error                                                                   ,"10/29/2022  09:26  RRP Ticket has been Informed  to Branch person 6295081772  for FLM activity
",informed       ,183917276
Oki - BNRMs for SBI           ,L000144622,NETAJI SUBHAS RD BRANCH                           ,KOLKATA             ,ONSITE                        ,20/10/2022 15:27:00,6,331516,SLM -Receipt Printer                                                                                ,"10/29/2022  01:26  RR  ^TO 10/28/2022  06:27  RR  ^TO 10/27/2022  01:10  RR  ^TO 10/26/2022  01:42  RR  ^TO 10/25/2022  00:20  RR  ^ TO 10/24/2022  01:29  RR  ^ TO 10/23/2022  00:11  RR  ^ TO 10/22/2022  13:12  MW  TO  10/21/2022  03:10  DR  @ RP ROLL NEED TO BE REPLENISH BY ENGINEER INSTRUCTED BY HARPREET SIR BP 9732388515, KINDLY SHARE ETA
10/20/2022  15:27  SGP RP Roll need to be replenish by engineer instructed by Harpreet sir BP 9674710799   T10202022561479460


",replenish      ,183815288
Oki - BNRMs for SBI           ,L000160623,PURULIA                                           ,PURULIA             ,ONSITE                        ,26/10/2022 17:38:00,6,331516,SLM -Receipt Printer                                                                                ,"10/29/2022  01:26  RR  ^TO 10/28/2022  07:23  RR  ^TO 10/27/2022  01:10  RR  ^RP Roll need to be replenish by engineer instructed by oki harpreet BP 9800899682
10/26/2022  17:39  SGP RP Roll need to be replenish by engineer instructed by oki harpreet BP9674716702   T10262022563434102

",replenish      ,183887812
Oki - BNRMs for SBI           ,L000170622,SBI ROBERTSGANJ                                   ,ROBERTSGANJ         ,ONSITE                        ,25/10/2022 12:52:00,27,331518,SLM- Encryptor Failure                                                                              ,"10/29/2022  00:26  RR  ^TO 10/28/2022  17:34  SP  Spare Required # ( EPP)- Escalated to OKI Harpreet Sir will check with YCH team and confirm us spare status. 
10/28/2022  06:29  RR  ^TO 10/27/2022  15:59  SP  Spare Required # ( EPP)-Call Escalated to OKI Prashant Sir to revised ETA he will get this check and confirm
10/27/2022  13:18  SP  Spare Required # ( EPP)-- Call Escalated to OKI Roshani to revised the ETA as shared ETA not acceptable
10/27/2022  11:28  SP  Spare Required # ( EPP)- Call Escalated to OKI Sahil to revised the ETA as shared ETA not acceptable 
10/26/2022  16:16  SP  Spare Required # ( EPP)- EDD :28 Oct 2022 16:00Hrs
10/26/2022  15:21  SP CE VISITED AT THE SITE AND FOUND EPP IS FAULTY ERROR CODE 0F20 HENCE I AM ARRANGING THE EPP 
10/26/2022  12:04  SP  Working at site
10/26/2022  11:28  SP  Waiting for bank person
10/26/2022  01:42  RR  ^TO 10/25/2022  14:27  SGP Im preoccupied in other  DWRO445301 call so I will attend 26.10.22 on 2pm and ETA has been updated by OIPL - CE SANTOSH KUMAR SINGH 26/10/2022 14:00:00discussed with oki kirti for revised CE ETA email sen t 
10/25/2022  13:35  EP  Im preoccupied in other  DWRO445301 call so I will attend 26.10.22 on 2pm and ETA has been updated by OIPL - CE SANTOSH KUMAR SINGH 26/10/2022 14:00:00 
10/25/2022  12:53  SGP Brief problem Description (EPP ISSUE same cofirmed with CE ) :
Branch Contact : sharma 9630602351
Engineer Contact : CE santosh  9793485703
Branch Availability : banking hours 
Fault in ESQ : EPP ISSUE 
Machine Status :down
Docket number : T10252022562828975",562828975      ,183870632
