Ticket ID,ATM ID,Action Code,Status Code,Created At
183917567.0,L000398623,47,330334,10/29/2022 11:10
183916281.0,L000443622,26,331665,10/29/2022 11:10
183919038.0,L000610622,34,331261,10/29/2022 11:10
183916889.0,L000819624,26,331665,10/29/2022 11:10
183920557.0,L000996622,34,331261,10/29/2022 11:10
183920194.0,L001154623,47,330334,10/29/2022 11:10
183917490.0,L001357621,34,331261,10/29/2022 11:10
183918781.0,L001511622,34,331261,10/29/2022 11:10
183916997.0,L001896623,26,331665,10/29/2022 11:10
183920287.0,L003160621,34,331261,10/29/2022 11:10
183918926.0,L003544621,34,331261,10/29/2022 11:10
183917373.0,L003668621,26,331665,10/29/2022 11:10
183917549.0,L004735622,47,330334,10/29/2022 11:10
183917175.0,L005536621,26,331665,10/29/2022 11:10
183917478.0,L007245623,26,331665,10/29/2022 11:10
183920776.0,L007430622,26,331665,10/29/2022 11:10
183919604.0,L007605623,34,331261,10/29/2022 11:10
183920561.0,L008058622,26,331665,10/29/2022 11:10
183918931.0,L008672621,34,331261,10/29/2022 11:10
183920199.0,L010279622,47,330334,10/29/2022 11:10
183917643.0,L010315622,8,331266,10/29/2022 11:10
183917642.0,L010315622,26,331665,10/29/2022 11:10
183918871.0,L010985621,8,330415,10/29/2022 11:10
183918872.0,L010985621,8,331266,10/29/2022 11:10
183918873.0,L010985621,34,331261,10/29/2022 11:10
183917667.0,L011139621,34,331261,10/29/2022 11:10
183918928.0,L011233621,34,331261,10/29/2022 11:10
183920286.0,L011244621,34,331261,10/29/2022 11:10
183918937.0,L011481622,34,331261,10/29/2022 11:10
183918930.0,L011481623,34,331261,10/29/2022 11:10
183920423.0,L011510621,34,331261,10/29/2022 11:10
183917019.0,L012723622,7,330436,10/29/2022 11:10
183917020.0,L012723622,34,331261,10/29/2022 11:10
183916565.0,L012880621,26,331665,10/29/2022 11:10
183917568.0,L012922621,47,330334,10/29/2022 11:10
183917162.0,L012947623,26,331665,10/29/2022 11:10
183917550.0,L012948622,26,331665,10/29/2022 11:10
183920428.0,L012996621,34,331261,10/29/2022 11:10
183916726.0,L013445622,34,331261,10/29/2022 11:10
183919621.0,L013529621,34,331261,10/29/2022 11:10
183918970.0,L013985622,34,331261,10/29/2022 11:10
183917010.0,L016436623,47,330334,10/29/2022 11:10
183920552.0,L016436623,7,330436,10/29/2022 11:10
183920553.0,L016436623,15,331321,10/29/2022 11:10
183919035.0,L017156621,34,331261,10/29/2022 11:10
183917516.0,L018307622,26,331665,10/29/2022 11:10
183920292.0,L020008622,34,331261,10/29/2022 11:10
183917167.0,L020718622,34,331261,10/29/2022 11:10
183920417.0,L020734622,7,330436,10/29/2022 11:10
183917563.0,L021037621,26,331665,10/29/2022 11:10
183917561.0,L021053621,47,330334,10/29/2022 11:10
183917377.0,L021135621,34,331261,10/29/2022 11:10
183917370.0,L021144622,26,331665,10/29/2022 11:10
183917671.0,L021410621,47,330334,10/29/2022 11:10
183917639.0,L021459621,47,330334,10/29/2022 11:10
183917004.0,L021882621,34,331261,10/29/2022 11:10
183920544.0,L022050621,34,331261,10/29/2022 11:10
183920433.0,L031433622,26,331665,10/29/2022 11:10
183917279.0,L040030621,7,330436,10/29/2022 11:10
183917280.0,L040030621,34,331261,10/29/2022 11:10
183917565.0,L040035622,47,330334,10/29/2022 11:10
183917388.0,L040610621,26,331665,10/29/2022 11:10
183916035.0,L050033623,26,331665,10/29/2022 11:10
183916557.0,L051026621,34,331261,10/29/2022 11:10
183917569.0,L061644621,34,331261,10/29/2022 11:10
183916728.0,L070222621,26,331665,10/29/2022 11:10
183917699.0,L070222621,34,331261,10/29/2022 11:10
183918874.0,L070222622,34,331261,10/29/2022 11:10
183917557.0,L070503621,26,331665,10/29/2022 11:10
183917696.0,L070503621,34,331261,10/29/2022 11:10
183916717.0,L070750621,26,331665,10/29/2022 11:10
183916876.0,L070799621,26,331665,10/29/2022 11:10
183916877.0,L070799621,34,331261,10/29/2022 11:10
